ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг
Тарас Наталіїш,False,175,120,192,163.6
Вікторія Тарасіш,False,178,144,164,163.6
Наталія Ілляш,False,150,159,186,163.5
Олег Олениш,False,177,120,189,163.5
Віктор Алібіба,False,180,177,128,163.5
Ніна Ілляш,True,188,175,119,163.4
Михайло Софіїш,False,167,137,185,163.4
Андрій Ярославиш,False,184,115,184,163.3
Олександр Олексіїш,False,187,178,117,163.29999999999998
Юлія Тетяниш,False,165,150,174,163.2
Оксана Анниш,False,189,116,176,163.2
Олег Ярославиш,True,180,108,196,163.2
Михайло Лідіїш,True,179,180,125,163.10000000000002
Ілля Володимириш,False,184,113,185,163.0
Ярослава Артеміш,False,184,183,115,163.0
Сергій Людмилиш,False,184,179,119,163.0
Анна Ілляш,True,192,178,109,162.9
Ольга Софіїш,True,186,140,155,162.9
Іван Софіїш,True,162,172,155,162.9
Дмитро Вікторіш,True,198,126,153,162.9
Людмила Людмилиш,True,162,148,179,162.89999999999998
Михайло Сергіїш,True,162,171,156,162.89999999999998
Ольга Катериниш,True,161,159,169,162.79999999999998
Михайло Ганниш,True,192,121,165,162.60000000000002
Марія Ілляш,False,189,105,185,162.60000000000002
Роман Ковтун,True,156,149,185,162.6
Богдан Ігоріш,True,144,151,199,162.6
Сергій Загвойко,False,195,122,160,162.6
Дмитро Людмилиш,True,199,200,194,197.8
Наталія Ярославиш,True,195,197,194,195.29999999999998
Богдан Володимириш,True,195,186,198,193.20000000000002
Марія Дмитріш,True,200,184,192,192.79999999999998
Ярослав Ганниш,True,190,194,193,192.1
Наталія Вікторіш,True,196,199,178,191.5
Анна Товтиш,True,193,182,197,190.9
Ніна Ганниш,True,198,181,180,187.5
Артем Олегіш,True,186,177,199,187.2
Володимир Андріїш,True,174,194,193,185.70000000000002
Наталія Катериниш,True,200,162,188,185.0
Ярослав Ковтун,True,189,181,183,184.8
Марта Ярославиш,True,200,157,191,184.39999999999998
Іванна Іриниш,True,194,193,161,183.8
Катерина Тетяниш,True,180,185,186,183.3
Лідія Олександріш,True,166,197,190,182.5
Олена Дмитришенко,True,178,200,171,182.5
Роман Андріїш,True,196,197,149,182.2
Олег Романіш,True,198,165,178,182.1
Ілля Максиміш,True,161,192,200,182.0
Ірина Людмилиш,True,185,164,195,181.7
Роман Лідіїш,True,193,198,150,181.6
Олександр Олегіш,True,177,181,188,181.5
Тарас Сергіїш,True,177,178,190,181.2
Тетяна Наталіїш,True,195,178,166,181.2
Ілля Олегіш,True,177,192,175,180.89999999999998
Юлія Іваниш,True,181,167,194,180.7
Тарас Ніниш,True,193,198,147,180.7
Юлія Іриниш,True,160,196,192,180.39999999999998
Ілля Іванниш,True,190,145,200,179.5
Марта Анатоліїш,True,186,164,186,179.39999999999998
Ярослав Олениш,True,197,197,137,179.0
Ольга Тарасіш,True,178,179,180,178.9
Софія Ігоріш,True,194,152,185,178.70000000000002
Артем Вікторіїш,True,197,143,189,178.4
Катерина Наталіїш,False,134,195,198,171.5
Ірина Вікторіїш,False,138,186,199,170.7
Марія Неборачко,True,128,196,198,169.4
Михайло Неборачко,False,129,194,198,169.2
Олена Ганниш,True,123,199,196,167.7
Андрій Наталіїш,True,136,191,185,167.2
Олена Ярославиш,False,125,195,190,165.5
Олена Алібіба,False,130,191,187,165.4
Максим Алібіба,True,135,187,184,165.29999999999998
Марта Ковтун,False,135,174,196,165.0
Олексій Ковтун,True,129,179,196,164.1
Петро Володимириш,True,135,186,178,163.2
Ірина Наталіїш,True,155,145,190,162.5
Павло Наталіїш,False,115,190,198,162.4
Максим Маріїш,False,186,173,120,162.3
Ольга Романіш,False,156,144,189,162.29999999999998
Ілля Іриниш,False,194,182,100,162.20000000000002
Володимир Олексіїш,False,155,176,158,162.2
Людмила Олениш,True,163,143,180,162.1
Олександр Лідіїш,False,157,187,144,162.1
Роман Максиміш,False,166,145,174,162.1
Людмила Михайлиш,True,187,164,127,162.1
Людмила Алібіба,False,144,195,153,162.0
Оксана Андріїш,True,132,173,191,162.0
Тетяна Тетяниш,True,174,168,140,162.0
Анастасія Софіїш,True,193,116,166,161.8
Сергій Богданіш,False,193,170,112,161.79999999999998
Лідія Романіш,True,174,199,108,161.70000000000002
Ілля Алібіба,False,153,183,152,161.7
Павло Андріїш,False,135,163,196,161.7
Ігор Ганниш,True,121,197,180,161.5
Павло Максиміш,False,175,130,175,161.5
Ярослав Іванниш,False,187,123,166,161.5
Дмитро Володимириш,True,187,133,156,161.5
Андрій Іваниш,True,174,150,156,161.4
Дмитро Неборачко,True,153,156,178,161.4
Тарас Богданіш,False,174,153,153,161.4
Тетяна Вікторіїш,False,161,146,177,161.3
Іванна Ніниш,True,185,172,119,161.29999999999998
Сергій Дмитріш,True,143,153,194,161.29999999999998
Артем Людмилиш,False,193,148,132,161.2
Катерина Олениш,True,160,160,164,161.2
Андрій Людмилиш,False,181,134,162,161.2
Олег Ковтун,False,174,194,111,161.10000000000002
Дмитро Анатоліїш,True,177,181,120,161.1
Володимир Ковтун,False,135,171,186,161.1
Ніна Михайлиш,False,111,190,199,161.1
Марта Вікторіш,False,189,116,169,161.1
Володимир Людмилиш,True,138,175,178,161.1
Андрій Максиміш,True,165,122,195,161.1
Сергій Іваниш,False,164,182,136,161.0
Ольга Анатоліїш,True,167,148,166,161.0
Людмила Вікторіїш,False,164,139,179,161.0
Ярослава Анниш,False,127,179,188,160.9
Марта Дмитришенко,True,168,142,170,160.8
Олександр Олениш,False,179,168,129,160.7
Вікторія Ковтун,True,155,164,165,160.7
Максим Катериниш,False,158,163,162,160.7
Тарас Людмилиш,False,155,135,194,160.7
Петро Артеміш,True,134,197,160,160.7
Іван Михайлиш,True,126,182,185,160.5
Оксана Товтиш,False,192,103,176,160.5
Олег Вікторіїш,True,165,178,137,160.5
Віктор Дмитріш,False,183,148,143,160.5
Олена Катериниш,False,180,178,117,160.5
Тетяна Катериниш,True,152,172,160,160.4
Анна Романіш,False,182,123,169,160.39999999999998
Тетяна Петріш,True,178,161,136,160.3
Віктор Ганниш,True,193,156,121,160.3
Анатолій Максиміш,True,166,173,140,160.3
Петро Вікторіш,False,199,101,168,160.3
Петро Лідіїш,False,148,195,142,160.3
Ніна Анниш,False,187,136,149,160.29999999999998
Ольга Людмилиш,True,138,190,160,160.2
Марія Іванниш,False,161,156,163,160.1
Павло Софіїш,True,140,174,173,160.1
Ігор Лідіїш,False,166,122,190,160.0
Петро Тетяниш,False,178,104,192,160.0
Павло Загвойко,False,136,169,183,160.0
Андрій Ярославіш,True,157,185,139,160.0
Оксана Іриниш,False,190,128,152,160.0
Анатолій Вікторіїш,False,151,150,182,160.0
Андрій Дмитріш,True,180,110,183,159.9
Петро Ілляш,False,150,183,150,159.9
Тетяна Олександріш,False,146,168,170,159.8
Тарас Іваниш,True,164,117,197,159.8
Лідія Іваниш,True,173,194,108,159.8
Олександр Ніниш,True,128,187,175,159.8
Олександр Маріїш,True,169,147,160,159.70000000000002
Ярослав Дмитріш,True,172,144,159,159.7
Роман Софіїш,True,151,165,166,159.7
Сергій Олениш,False,172,121,182,159.7
Віктор Іриниш,True,196,112,159,159.7
Олена Неборачко,True,165,158,154,159.6
Лідія Наталіїш,True,126,185,179,159.6
Наталія Алібіба,True,153,191,137,159.6
Анастасія Романіш,False,143,155,186,159.5
Ярослав Наталіїш,True,128,192,169,159.5
Павло Іваниш,True,170,174,131,159.5
Артем Ілляш,True,149,151,182,159.5
Дмитро Артеміш,True,170,191,114,159.5
Михайло Володимириш,False,190,112,166,159.39999999999998
Роман Анниш,True,180,171,120,159.3
Ірина Ганниш,False,189,158,121,159.3
Анатолій Дмитришенко,False,129,162,197,159.3
Богдан Тарасіш,True,119,182,190,159.2
Іванна Лідіїш,False,180,167,123,159.0
Артем Олексіїш,True,174,152,146,159.0
Марта Андріїш,False,150,151,179,159.0
Анна Анниш,True,168,160,146,159.0
Марія Володимириш,False,167,189,118,158.9
Олена Ковтун,False,164,185,126,158.9
Володимир Вікторіш,True,166,186,122,158.8
Анна Вікторіїш,True,190,104,172,158.8
Ілля Оксаниш,True,183,153,132,158.7
Ірина Ілляш,False,156,196,125,158.7
Ігор Михайлиш,True,144,157,180,158.7
Ярослава Катериниш,True,164,199,111,158.60000000000002
Людмила Андріїш,False,167,160,146,158.6
Сергій Олегіш,True,127,161,198,158.5
Володимир Тарасіш,True,148,160,171,158.5
Артем Артеміш,False,193,139,132,158.5
Софія Михайлиш,False,151,198,129,158.5
Андрій Олексіїш,False,142,181,158,158.5
Петро Товтиш,True,183,147,137,158.4
Наталія Романіш,True,173,175,122,158.3
Тетяна Анниш,True,140,168,173,158.3
Павло Іриниш,False,199,150,112,158.20000000000002
Ігор Дмитріш,True,196,117,149,158.2
Наталія Артеміш,True,172,156,142,158.2
Віктор Маріїш,True,128,169,187,158.0
Софія Ковтун,False,173,110,186,158.0
Олексій Іванниш,False,152,138,186,158.0
Дмитро Дмитришенко,False,115,183,190,157.9
Артем Петріш,False,181,160,125,157.9
Дмитро Ілляш,True,163,188,121,157.89999999999998
Олексій Людмилиш,True,189,110,164,157.8
Ігор Олегіш,True,111,181,197,157.8
Тарас Лідіїш,True,186,162,116,157.8
Людмила Вікторіш,False,186,146,132,157.8
Олексій Алібіба,True,176,166,125,157.7
Вікторія Анниш,False,125,180,179,157.7
Дмитро Дмитріш,True,173,165,130,157.7
Марта Іриниш,True,193,107,161,157.60000000000002
Ігор Загвойко,True,193,158,110,157.6
Ігор Вікторіїш,True,154,137,183,157.6
Ніна Володимириш,False,147,178,151,157.5
Олена Іванниш,True,192,125,144,157.5
Роман Романіш,True,180,152,133,157.5
Олексій Артеміш,False,186,133,144,157.5
Ярослав Софіїш,False,146,170,160,157.4
Софія Неборачко,True,152,150,172,157.4
Оксана Артеміш,False,185,105,173,157.4
Ілля Неборачко,True,184,122,157,157.3
Оксана Ніниш,False,169,116,183,157.3
Андрій Іриниш,False,172,188,107,157.29999999999998
Вікторія Ярославіш,False,142,171,164,157.29999999999998
Ніна Ковтун,True,138,182,158,157.20000000000002
Іванна Анниш,True,135,196,148,157.2
Анастасія Тарасіш,True,164,168,137,157.1
Віктор Тетяниш,True,151,136,186,157.0
Наталія Ніниш,False,169,144,154,157.0
Ірина Сергіїш,False,144,166,165,156.9
Олег Олегіш,True,177,135,152,156.9
Ольга Іванниш,False,138,194,145,156.9
Віктор Олегіш,False,180,158,125,156.9
Ілля Артеміш,False,126,189,166,156.89999999999998
Оксана Петріш,True,128,154,198,156.8
Марта Олександріш,False,110,183,193,156.8
Андрій Іванниш,False,143,200,132,156.8
Ольга Богданіш,True,173,106,186,156.8
Михайло Ніниш,False,176,114,174,156.79999999999998
Людмила Товтиш,True,185,152,124,156.79999999999998
Лідія Олегіш,True,157,181,132,156.7
Іванна Ярославіш,False,184,151,126,156.7
Юлія Ганниш,False,151,155,166,156.7
Роман Ганниш,False,175,161,128,156.7
Ганна Володимириш,True,139,187,150,156.7
Тетяна Іриниш,True,163,189,116,156.7
Тетяна Іваниш,False,120,172,190,156.6
Іванна Тарасіш,True,147,182,144,156.6
Сергій Тарасіш,False,123,184,174,156.6
Олексій Товтиш,False,180,114,168,156.6
Ілля Катериниш,False,138,158,180,156.6
Андрій Товтиш,True,132,167,179,156.6
Олексій Андріїш,False,185,120,155,156.5
Ніна Іванниш,True,136,185,155,156.4
Оксана Ганниш,True,157,160,152,156.4
Дмитро Тетяниш,False,106,195,185,156.4
Максим Людмилиш,False,166,116,184,156.4
Анна Максиміш,False,190,122,146,156.39999999999998
Сергій Максиміш,True,132,198,147,156.3
Іван Людмилиш,False,102,200,185,156.3
Іван Тетяниш,True,150,188,133,156.3
Богдан Дмитріш,False,179,119,163,156.20000000000002
Олександр Іриниш,False,200,137,117,156.2
Тарас Андріїш,False,152,181,137,156.2
Катерина Маріїш,False,172,187,104,156.1
Вікторія Анатоліїш,False,193,158,105,156.1
Лідія Софіїш,False,121,190,169,156.1
Іванна Дмитріш,True,145,169,158,156.1
Дмитро Іриниш,False,127,171,180,156.1
Іванна Ілляш,False,153,120,196,156.0
Роман Петріш,False,180,106,174,156.0
Роман Алібіба,True,144,142,186,156.0
Богдан Олексіїш,False,156,180,132,156.0
Анастасія Алібіба,True,177,154,130,156.0
Олег Лідіїш,True,198,124,132,156.0
Софія Наталіїш,False,134,171,170,155.9
Олександр Анатоліїш,False,188,165,104,155.9
Павло Сергіїш,True,161,179,126,155.89999999999998
Олег Товтиш,True,184,106,168,155.8
Максим Ярославіш,True,136,162,176,155.8
Павло Олексіїш,True,115,176,190,155.8
Ярослав Ніниш,False,172,128,162,155.79999999999998
Наталія Тарасіш,True,108,198,177,155.7
Олег Олександріш,False,135,178,161,155.7
Олена Романіш,True,147,147,176,155.7
Ярослав Дмитришенко,True,150,132,187,155.7
Роман Дмитришенко,False,177,143,140,155.7
Ілля Петріш,True,194,142,118,155.60000000000002
Анна Іванниш,False,197,153,103,155.60000000000002
Софія Петріш,False,194,114,146,155.60000000000002
Ірина Загвойко,True,197,101,155,155.60000000000002
Ігор Анатоліїш,False,170,167,125,155.6
Людмила Ганниш,True,167,189,107,155.6
Катерина Максиміш,True,170,136,156,155.6
Людмила Анатоліїш,True,178,136,145,155.5
Роман Дмитріш,True,178,127,154,155.5
Олег Ілляш,True,151,142,175,155.5
Людмила Сергіїш,False,191,104,159,155.3
Олександр Максиміш,False,122,185,170,155.3
Анна Артеміш,False,140,193,138,155.3
Ілля Загвойко,True,188,125,142,155.3
Софія Тетяниш,False,194,148,111,155.3
Богдан Вікторіїш,True,199,127,125,155.20000000000002
Артем Максиміш,True,199,122,130,155.20000000000002
Петро Маріїш,False,133,170,170,155.2
Марія Олександріш,True,190,151,113,155.2
Оксана Загвойко,False,168,151,142,155.1
Тетяна Андріїш,False,165,196,101,155.1
Ганна Анатоліїш,True,188,151,115,155.0
Наталія Олегіш,False,158,153,153,155.0
Ігор Іванниш,True,128,166,180,155.0
Анатолій Іваниш,True,176,142,140,155.0
Павло Анниш,True,170,131,159,155.0
Роман Вікторіїш,True,146,149,173,155.0
Іван Олександріш,False,191,131,131,155.0
Ілля Іваниш,False,125,197,153,155.0
Олена Софіїш,False,172,135,152,154.9
Ілля Ганниш,False,184,138,133,154.9
Ігор Володимириш,False,157,185,122,154.9
Анастасія Олександріш,False,192,118,142,154.8
Віктор Олениш,True,168,116,176,154.8
Анастасія Ярославиш,False,162,105,195,154.8
Ольга Сергіїш,False,126,149,199,154.79999999999998
Ганна Ковтун,False,111,179,189,154.79999999999998
